x,y,value
2017-01-01,AMAZONAS,1
2017-01-01,ANTIOQUIA,58
2017-01-01,ATLANTICO,8
2017-01-01,BOLIVAR,7
2017-01-01,BOYACA,1
2017-01-01,CALDAS,5
2017-01-01,CAQUETA,1
2017-01-01,CAUCA,3
2017-01-01,CESAR,2
2017-01-01,CHOCO,2
2017-01-01,CORDOBA,7
2017-01-01,CUNDINAMARCA,11
2017-01-01,GUAJIRA,4
2017-01-01,HUILA,5
2017-01-01,MAGDALENA,1
2017-01-01,META,9
2017-01-01,NARINO,15
2017-01-01,NORTE DE SANTANDER,2
2017-01-01,PUTUMAYO,1
2017-01-01,QUINDIO,4
2017-01-01,RISARALDA,2
2017-01-01,SAN ANDRES,5
2017-01-01,SANTANDER,10
2017-01-01,SUCRE,1
2017-01-01,TOLIMA,6
2017-01-01,VALLE,23
2017-01-02,ANTIOQUIA,35
2017-01-02,ATLANTICO,5
2017-01-02,BOLIVAR,1
2017-01-02,BOYACA,3
2017-01-02,CALDAS,5
2017-01-02,CAQUETA,3
2017-01-02,CASANARE,2
2017-01-02,CAUCA,1
2017-01-02,CESAR,3
2017-01-02,CHOCO,1
2017-01-02,CORDOBA,1
2017-01-02,CUNDINAMARCA,13
2017-01-02,GUAJIRA,3
2017-01-02,GUAVIARE,1
2017-01-02,HUILA,4
2017-01-02,MAGDALENA,4
2017-01-02,META,6
2017-01-02,NARINO,18
2017-01-02,NORTE DE SANTANDER,2
2017-01-02,QUINDIO,6
2017-01-02,RISARALDA,10
2017-01-02,SANTANDER,10
2017-01-02,TOLIMA,8
2017-01-02,VALLE,25
2017-01-03,ANTIOQUIA,72
2017-01-03,ATLANTICO,8
2017-01-03,BOYACA,3
2017-01-03,CALDAS,3
2017-01-03,CAQUETA,2
2017-01-03,CASANARE,8
2017-01-03,CAUCA,6
2017-01-03,CORDOBA,3
2017-01-03,CUNDINAMARCA,20
2017-01-03,GUAJIRA,4
2017-01-03,HUILA,4
2017-01-03,MAGDALENA,2
2017-01-03,META,20
2017-01-03,NARINO,17
2017-01-03,NORTE DE SANTANDER,2
2017-01-03,PUTUMAYO,3
2017-01-03,QUINDIO,7
2017-01-03,RISARALDA,8
2017-01-03,SANTANDER,5
2017-01-03,TOLIMA,17
2017-01-03,VALLE,21
2017-01-04,AMAZONAS,4
2017-01-04,ANTIOQUIA,37
2017-01-04,ARAUCA,1
2017-01-04,ATLANTICO,8
2017-01-04,BOYACA,2
2017-01-04,CALDAS,6
2017-01-04,CAQUETA,7
2017-01-04,CAUCA,1
2017-01-04,CESAR,3
2017-01-04,CHOCO,3
2017-01-04,CORDOBA,1
2017-01-04,CUNDINAMARCA,25
2017-01-04,GUAJIRA,4
2017-01-04,HUILA,3
2017-01-04,META,66
2017-01-04,NARINO,26
2017-01-04,NORTE DE SANTANDER,6
2017-01-04,PUTUMAYO,4
2017-01-04,QUINDIO,4
2017-01-04,RISARALDA,3
2017-01-04,SANTANDER,13
2017-01-04,SUCRE,2
2017-01-04,TOLIMA,8
2017-01-04,VALLE,13
2017-01-04,VICHADA,1
2017-01-05,AMAZONAS,1
2017-01-05,ANTIOQUIA,30
2017-01-05,ATLANTICO,8
2017-01-05,BOYACA,6
2017-01-05,CALDAS,11
2017-01-05,CAQUETA,4
2017-01-05,CASANARE,4
2017-01-05,CAUCA,1
2017-01-05,CESAR,5
2017-01-05,CORDOBA,1
2017-01-05,CUNDINAMARCA,65
2017-01-05,GUAVIARE,1
2017-01-05,HUILA,7
2017-01-05,MAGDALENA,6
2017-01-05,META,9
2017-01-05,NARINO,13
2017-01-05,NORTE DE SANTANDER,7
2017-01-05,PUTUMAYO,1
2017-01-05,QUINDIO,2
2017-01-05,RISARALDA,9
2017-01-05,SANTANDER,17
2017-01-05,SUCRE,7
2017-01-05,TOLIMA,11
2017-01-05,VALLE,21
2017-01-06,AMAZONAS,1
2017-01-06,ANTIOQUIA,30
2017-01-06,ATLANTICO,8
2017-01-06,BOLIVAR,9
2017-01-06,BOYACA,3
2017-01-06,CALDAS,12
2017-01-06,CASANARE,1
2017-01-06,CAUCA,2
2017-01-06,CESAR,2
2017-01-06,CHOCO,2
2017-01-06,CORDOBA,2
2017-01-06,CUNDINAMARCA,31
2017-01-06,GUAJIRA,2
2017-01-06,HUILA,3
2017-01-06,MAGDALENA,7
2017-01-06,META,10
2017-01-06,NARINO,31
2017-01-06,NORTE DE SANTANDER,5
2017-01-06,PUTUMAYO,1
2017-01-06,QUINDIO,2
2017-01-06,RISARALDA,8
2017-01-06,SANTANDER,11
2017-01-06,SUCRE,5
2017-01-06,TOLIMA,12
2017-01-06,VALLE,17
2017-01-07,ANTIOQUIA,23
2017-01-07,ATLANTICO,9
2017-01-07,BOLIVAR,3
2017-01-07,BOYACA,6
2017-01-07,CALDAS,21
2017-01-07,CAQUETA,1
2017-01-07,CASANARE,3
2017-01-07,CAUCA,6
2017-01-07,CESAR,3
2017-01-07,CHOCO,2
2017-01-07,CORDOBA,4
2017-01-07,CUNDINAMARCA,20
2017-01-07,GUAJIRA,4
2017-01-07,HUILA,6
2017-01-07,MAGDALENA,8
2017-01-07,META,14
2017-01-07,NARINO,19
2017-01-07,NORTE DE SANTANDER,3
2017-01-07,QUINDIO,2
2017-01-07,RISARALDA,7
2017-01-07,SANTANDER,17
2017-01-07,SUCRE,10
2017-01-07,TOLIMA,9
2017-01-07,VALLE,27
2017-01-08,ANTIOQUIA,34
2017-01-08,ATLANTICO,1
2017-01-08,BOLIVAR,7
2017-01-08,BOYACA,2
2017-01-08,CALDAS,25
2017-01-08,CAQUETA,1
2017-01-08,CAUCA,2
2017-01-08,CORDOBA,4
2017-01-08,CUNDINAMARCA,16
2017-01-08,HUILA,2
2017-01-08,MAGDALENA,6
2017-01-08,META,5
2017-01-08,NARINO,7
2017-01-08,NORTE DE SANTANDER,8
2017-01-08,QUINDIO,2
2017-01-08,RISARALDA,3
2017-01-08,SAN ANDRES,2
2017-01-08,SANTANDER,9
2017-01-08,SUCRE,2
2017-01-08,TOLIMA,3
2017-01-08,VALLE,12
2017-01-09,ANTIOQUIA,21
2017-01-09,ARAUCA,3
2017-01-09,ATLANTICO,5
2017-01-09,BOLIVAR,4
2017-01-09,BOYACA,9
2017-01-09,CALDAS,10
2017-01-09,CAQUETA,1
2017-01-09,CASANARE,1
2017-01-09,CAUCA,6
2017-01-09,CESAR,4
2017-01-09,CHOCO,2
2017-01-09,CORDOBA,7
2017-01-09,CUNDINAMARCA,20
2017-01-09,GUAJIRA,1
2017-01-09,HUILA,5
2017-01-09,MAGDALENA,3
2017-01-09,META,17
2017-01-09,NARINO,3
2017-01-09,NORTE DE SANTANDER,2
2017-01-09,QUINDIO,3
2017-01-09,RISARALDA,4
2017-01-09,SANTANDER,13
2017-01-09,SUCRE,7
2017-01-09,TOLIMA,3
2017-01-09,VALLE,12
2017-01-10,ANTIOQUIA,34
2017-01-10,ARAUCA,1
2017-01-10,ATLANTICO,17
2017-01-10,BOLIVAR,1
2017-01-10,BOYACA,1
2017-01-10,CALDAS,4
2017-01-10,CAQUETA,1
2017-01-10,CAUCA,2
2017-01-10,CESAR,5
2017-01-10,CORDOBA,3
2017-01-10,CUNDINAMARCA,33
2017-01-10,GUAJIRA,3
2017-01-10,HUILA,3
2017-01-10,MAGDALENA,12
2017-01-10,META,2
2017-01-10,NARINO,14
2017-01-10,NORTE DE SANTANDER,2
2017-01-10,QUINDIO,2
2017-01-10,RISARALDA,10
2017-01-10,SANTANDER,18
2017-01-10,SUCRE,3
2017-01-10,TOLIMA,5
2017-01-10,VALLE,23
2017-01-11,ANTIOQUIA,44
2017-01-11,ATLANTICO,9
2017-01-11,BOYACA,2
2017-01-11,CALDAS,5
2017-01-11,CAQUETA,1
2017-01-11,CASANARE,2
2017-01-11,CAUCA,8
2017-01-11,CESAR,8
2017-01-11,CORDOBA,5
2017-01-11,CUNDINAMARCA,30
2017-01-11,GUAJIRA,3
2017-01-11,HUILA,6
2017-01-11,MAGDALENA,16
2017-01-11,META,4
2017-01-11,NARINO,7
2017-01-11,NORTE DE SANTANDER,8
2017-01-11,QUINDIO,1
2017-01-11,RISARALDA,5
2017-01-11,SANTANDER,21
2017-01-11,SUCRE,1
2017-01-11,TOLIMA,11
2017-01-11,VALLE,16
2017-01-12,ANTIOQUIA,30
2017-01-12,ARAUCA,1
2017-01-12,ATLANTICO,8
2017-01-12,BOYACA,7
2017-01-12,CALDAS,5
2017-01-12,CAQUETA,7
2017-01-12,CASANARE,4
2017-01-12,CAUCA,5
2017-01-12,CESAR,7
2017-01-12,CORDOBA,2
2017-01-12,CUNDINAMARCA,89
2017-01-12,GUAJIRA,2
2017-01-12,HUILA,3
2017-01-12,MAGDALENA,3
2017-01-12,META,6
2017-01-12,NARINO,13
2017-01-12,NORTE DE SANTANDER,6
2017-01-12,QUINDIO,9
2017-01-12,RISARALDA,3
2017-01-12,SANTANDER,7
2017-01-12,SUCRE,1
2017-01-12,TOLIMA,9
2017-01-12,VALLE,32
2017-01-13,ANTIOQUIA,28
2017-01-13,ATLANTICO,17
2017-01-13,CALDAS,3
2017-01-13,CAQUETA,3
2017-01-13,CASANARE,2
2017-01-13,CAUCA,5
2017-01-13,CESAR,4
2017-01-13,CHOCO,1
2017-01-13,CORDOBA,4
2017-01-13,CUNDINAMARCA,37
2017-01-13,GUAJIRA,3
2017-01-13,GUAVIARE,2
2017-01-13,HUILA,4
2017-01-13,MAGDALENA,7
2017-01-13,META,6
2017-01-13,NARINO,4
2017-01-13,NORTE DE SANTANDER,2
2017-01-13,PUTUMAYO,1
2017-01-13,QUINDIO,23
2017-01-13,RISARALDA,15
2017-01-13,SAN ANDRES,2
2017-01-13,SANTANDER,10
2017-01-13,SUCRE,3
2017-01-13,TOLIMA,10
2017-01-13,VALLE,36
