day	hour	value
1	1	128
1	2	78
1	3	70
1	4	57
1	5	81
1	6	98
1	7	131
1	8	147
1	9	119
1	10	134
1	11	164
1	12	167
1	13	136
1	14	131
1	15	154
1	16	138
1	17	188
1	18	187
1	19	181
1	20	166
1	21	165
1	22	90
1	23	61
1	24	151
2	1	46
2	2	44
2	3	61
2	4	56
2	5	95
2	6	146
2	7	191
2	8	180
2	9	143
2	10	199
2	11	221
2	12	201
2	13	187
2	14	207
2	15	194
2	16	196
2	17	169
2	18	244
2	19	272
2	20	216
2	21	170
2	22	94
2	23	59
2	24	128
3	1	44
3	2	74
3	3	63
3	4	38
3	5	73
3	6	158
3	7	226
3	8	194
3	9	183
3	10	189
3	11	247
3	12	197
3	13	159
3	14	191
3	15	192
3	16	182
3	17	185
3	18	246
3	19	251
3	20	209
3	21	172
3	22	114
3	23	80
3	24	104
4	1	50
4	2	51
4	3	51
4	4	39
4	5	105
4	6	143
4	7	202
4	8	195
4	9	174
4	10	203
4	11	219
4	12	208
4	13	233
4	14	181
4	15	232
4	16	185
4	17	194
4	18	284
4	19	273
4	20	231
4	21	166
4	22	175
4	23	67
4	24	143
5	1	64
5	2	107
5	3	63
5	4	37
5	5	88
5	6	142
5	7	227
5	8	145
5	9	156
5	10	181
5	11	213
5	12	194
5	13	184
5	14	163
5	15	193
5	16	218
5	17	202
5	18	607
5	19	347
5	20	220
5	21	192
5	22	141
5	23	134
5	24	120
6	1	97
6	2	92
6	3	115
6	4	77
6	5	71
6	6	96
6	7	100
6	8	120
6	9	120
6	10	204
6	11	216
6	12	220
6	13	154
6	14	195
6	15	184
6	16	177
6	17	194
6	18	188
6	19	255
6	20	219
6	21	196
6	22	157
6	23	145
6	24	194
7	1	101
7	2	163
7	3	153
7	4	115
7	5	71
7	6	57
7	7	64
7	8	103
7	9	82
7	10	130
7	11	138
7	12	126
7	13	117
7	14	102
7	15	115
7	16	137
7	17	96
7	18	126
7	19	157
7	20	173
7	21	160
7	22	126
7	23	80
7	24	188
